"","Gender","Own_car","Own_realty","No_children","Income","Income_type","Education","Marital_status","Housing_type","DateOfBirth","DateOfEmployed","Workphone","Phone","Email","Occupation","No_family_members","Risk_user"
"53","Female","0","1",2,126000,"Commercial associate","Higher education","Married","House / apartment","1936-01-09","1965-02-23","0","0","1","Managers",4,"0"
"54","Female","0","1",2,126000,"Commercial associate","Higher education","Married","House / apartment","1936-01-09","1965-02-23","0","0","1","Managers",4,"0"
"55","Female","0","1",2,126000,"Commercial associate","Higher education","Married","House / apartment","1936-01-09","1965-02-23","0","0","1","Managers",4,"0"
"56","Female","0","1",2,126000,"Commercial associate","Higher education","Married","House / apartment","1936-01-09","1965-02-23","0","0","1","Managers",4,"1"
"57","Female","0","1",2,126000,"Commercial associate","Higher education","Married","House / apartment","1936-01-09","1965-02-23","0","0","1","Managers",4,"0"
"58","Female","0","1",2,126000,"Commercial associate","Higher education","Married","House / apartment","1936-01-09","1965-02-23","0","0","1","Managers",4,"0"
"59","Female","0","1",2,126000,"Commercial associate","Higher education","Married","House / apartment","1936-01-09","1965-02-23","0","0","1","Managers",4,"0"
"60","Female","0","1",2,126000,"Commercial associate","Higher education","Married","House / apartment","1936-01-09","1965-02-23","0","0","1","Managers",4,"0"
"61","Female","0","1",0,247500,"Commercial associate","Higher education","Separated","Rented apartment","1923-06-01","1966-04-25","0","0","0","Core staff",1,"0"
"62","Female","0","1",0,247500,"Commercial associate","Higher education","Separated","Rented apartment","1923-06-01","1966-04-25","0","0","0","Core staff",1,"0"
"63","Female","0","1",0,247500,"Commercial associate","Higher education","Separated","Rented apartment","1923-06-01","1966-04-25","0","0","0","Core staff",1,"0"
"64","Female","0","1",0,297000,"Commercial associate","Secondary","Single","Rented apartment","1927-07-07","1961-02-23","0","0","0","Laborers",1,"0"
"65","Female","0","1",0,297000,"Commercial associate","Secondary","Single","Rented apartment","1927-07-07","1961-02-23","0","0","0","Laborers",1,"0"
"66","Female","0","1",0,297000,"Commercial associate","Secondary","Single","Rented apartment","1927-07-07","1961-02-23","0","0","0","Laborers",1,"0"
"67","Female","0","1",0,297000,"Commercial associate","Secondary","Single","Rented apartment","1927-07-07","1961-02-23","0","0","0","Laborers",1,"0"
"68","Female","0","1",0,297000,"Commercial associate","Secondary","Single","Rented apartment","1927-07-07","1961-02-23","0","0","0","Laborers",1,"0"
"69","Female","0","1",0,297000,"Commercial associate","Secondary","Single","Rented apartment","1927-07-07","1961-02-23","0","0","0","Laborers",1,"0"
"70","Female","0","1",0,297000,"Commercial associate","Secondary","Single","Rented apartment","1927-07-07","1961-02-23","0","0","0","Laborers",1,"0"
"71","Female","0","1",0,297000,"Commercial associate","Secondary","Single","Rented apartment","1927-07-07","1961-02-23","0","0","0","Laborers",1,"0"
"72","Female","0","1",0,297000,"Commercial associate","Secondary","Single","Rented apartment","1927-07-07","1961-02-23","0","0","0","Laborers",1,"0"
"73","Female","0","1",0,297000,"Commercial associate","Secondary","Single","Rented apartment","1927-07-07","1961-02-23","0","0","0","Laborers",1,"0"
"74","Female","0","1",0,297000,"Commercial associate","Secondary","Single","Rented apartment","1927-07-07","1961-02-23","0","0","0","Laborers",1,"0"
"75","Female","0","1",0,297000,"Commercial associate","Secondary","Single","Rented apartment","1927-07-07","1961-02-23","0","0","0","Laborers",1,"1"
"76","Female","0","1",0,297000,"Commercial associate","Secondary","Single","Rented apartment","1927-07-07","1961-02-23","0","0","0","Laborers",1,"0"
"77","Female","0","1",0,297000,"Commercial associate","Secondary","Single","Rented apartment","1927-07-07","1961-02-23","0","0","0","Laborers",1,"1"
"78","Female","0","1",0,297000,"Commercial associate","Secondary","Single","Rented apartment","1927-07-07","1961-02-23","0","0","0","Laborers",1,"0"
"79","Female","0","1",0,297000,"Commercial associate","Secondary","Single","Rented apartment","1927-07-07","1961-02-23","0","0","0","Laborers",1,"1"
"80","Female","0","1",0,297000,"Commercial associate","Secondary","Single","Rented apartment","1927-07-07","1961-02-23","0","0","0","Laborers",1,"0"
"81","Female","0","1",0,297000,"Commercial associate","Secondary","Single","Rented apartment","1927-07-07","1961-02-23","0","0","0","Laborers",1,"1"
"82","Female","0","1",0,297000,"Commercial associate","Secondary","Single","Rented apartment","1927-07-07","1961-02-23","0","0","0","Laborers",1,"0"
"83","Female","0","1",0,297000,"Commercial associate","Secondary","Single","Rented apartment","1927-07-07","1961-02-23","0","0","0","Laborers",1,"1"
"84","Female","0","1",0,297000,"Commercial associate","Secondary","Single","Rented apartment","1927-07-07","1961-02-23","0","0","0","Laborers",1,"0"
"85","Female","0","1",0,297000,"Commercial associate","Secondary","Single","Rented apartment","1927-07-07","1961-02-23","0","0","0","Laborers",1,"1"
"86","Female","0","1",0,297000,"Commercial associate","Secondary","Single","Rented apartment","1927-07-07","1961-02-23","0","0","0","Laborers",1,"0"
"87","Female","0","1",0,297000,"Commercial associate","Secondary","Single","Rented apartment","1927-07-07","1961-02-23","0","0","0","Laborers",1,"1"
"88","Female","0","1",0,297000,"Commercial associate","Secondary","Single","Rented apartment","1927-07-07","1961-02-23","0","0","0","Laborers",1,"0"
"89","Female","0","1",0,297000,"Commercial associate","Secondary","Single","Rented apartment","1927-07-07","1961-02-23","0","0","0","Laborers",1,"1"
"90","Female","0","1",0,297000,"Commercial associate","Secondary","Single","Rented apartment","1927-07-07","1961-02-23","0","0","0","Laborers",1,"0"
"91","Female","0","1",0,297000,"Commercial associate","Secondary","Single","Rented apartment","1927-07-07","1961-02-23","0","0","0","Laborers",1,"1"
"92","Female","0","1",0,297000,"Commercial associate","Secondary","Single","Rented apartment","1927-07-07","1961-02-23","0","0","0","Laborers",1,"0"
"93","Female","0","1",0,297000,"Commercial associate","Secondary","Single","Rented apartment","1927-07-07","1961-02-23","0","0","0","Laborers",1,"1"
"94","Female","0","1",0,297000,"Commercial associate","Secondary","Single","Rented apartment","1927-07-07","1961-02-23","0","0","0","Laborers",1,"0"
"95","Female","0","1",0,297000,"Commercial associate","Secondary","Single","Rented apartment","1927-07-07","1961-02-23","0","0","0","Laborers",1,"1"
"96","Female","0","1",0,297000,"Commercial associate","Secondary","Single","Rented apartment","1927-07-07","1961-02-23","0","0","0","Laborers",1,"0"
"97","Female","0","1",0,297000,"Commercial associate","Secondary","Single","Rented apartment","1927-07-07","1961-02-23","0","0","0","Laborers",1,"0"
"98","Female","0","1",0,297000,"Commercial associate","Secondary","Single","Rented apartment","1927-07-07","1961-02-23","0","0","0","Laborers",1,"0"
"99","Female","0","1",0,297000,"Commercial associate","Secondary","Single","Rented apartment","1927-07-07","1961-02-23","0","0","0","Laborers",1,"1"
"100","Female","0","1",0,297000,"Commercial associate","Secondary","Single","Rented apartment","1927-07-07","1961-02-23","0","0","0","Laborers",1,"0"
"101","Female","0","1",0,297000,"Commercial associate","Secondary","Single","Rented apartment","1927-07-07","1961-02-23","0","0","0","Laborers",1,"1"
"102","Female","0","1",0,297000,"Commercial associate","Secondary","Single","Rented apartment","1927-07-07","1961-02-23","0","0","0","Laborers",1,"0"
"103","Female","0","1",0,297000,"Commercial associate","Secondary","Single","Rented apartment","1927-07-07","1961-02-23","0","0","0","Laborers",1,"0"
"104","Female","0","1",0,297000,"Commercial associate","Secondary","Single","Rented apartment","1927-07-07","1961-02-23","0","0","0","Laborers",1,"0"
"105","Female","0","1",0,297000,"Commercial associate","Secondary","Single","Rented apartment","1927-07-07","1961-02-23","0","0","0","Laborers",1,"0"
"106","Female","0","1",0,297000,"Commercial associate","Secondary","Single","Rented apartment","1927-07-07","1961-02-23","0","0","0","Laborers",1,"0"
"107","Female","0","1",0,297000,"Commercial associate","Secondary","Single","Rented apartment","1927-07-07","1961-02-23","0","0","0","Laborers",1,"0"
"108","Female","0","1",0,297000,"Commercial associate","Secondary","Single","Rented apartment","1927-07-07","1961-02-23","0","0","0","Laborers",1,"0"
"109","Female","0","1",0,297000,"Commercial associate","Secondary","Single","Rented apartment","1927-07-07","1961-02-23","0","0","0","Laborers",1,"0"
"110","Female","0","1",0,297000,"Commercial associate","Secondary","Single","Rented apartment","1927-07-07","1961-02-23","0","0","0","Laborers",1,"0"
"111","Female","0","1",0,297000,"Commercial associate","Secondary","Single","Rented apartment","1927-07-07","1961-02-23","0","0","0","Laborers",1,"0"
"112","Female","0","1",0,297000,"Commercial associate","Secondary","Single","Rented apartment","1927-07-07","1961-02-23","0","0","0","Laborers",1,"0"
"113","Female","0","1",0,297000,"Commercial associate","Secondary","Single","Rented apartment","1927-07-07","1961-02-23","0","0","0","Laborers",1,"0"
"114","Female","0","1",0,297000,"Commercial associate","Secondary","Single","Rented apartment","1927-07-07","1961-02-23","0","0","0","Laborers",1,"0"
"115","Female","0","0",0,157500,"Commercial associate","Higher education","Married","House / apartment","1932-08-26","1956-09-25","0","1","0","High skill tech staff",2,"1"
"116","Female","0","0",0,157500,"Commercial associate","Higher education","Married","House / apartment","1932-08-26","1956-09-25","0","1","0","High skill tech staff",2,"0"
"117","Female","0","0",0,157500,"Commercial associate","Higher education","Married","House / apartment","1932-08-26","1956-09-25","0","1","0","High skill tech staff",2,"1"
"118","Female","0","0",0,157500,"Commercial associate","Higher education","Married","House / apartment","1932-08-26","1956-09-25","0","1","0","High skill tech staff",2,"1"
"119","Female","0","0",0,157500,"Commercial associate","Higher education","Married","House / apartment","1932-08-26","1956-09-25","0","1","0","High skill tech staff",2,"1"
"120","Male","0","1",0,135000,"Working","Secondary","Married","House / apartment","1927-08-11","1966-02-23","1","1","0","Drivers",2,"0"
"121","Male","0","1",0,135000,"Working","Secondary","Married","House / apartment","1927-08-11","1966-02-23","1","1","0","Drivers",2,"0"
"122","Male","0","1",0,135000,"Working","Secondary","Married","House / apartment","1927-08-11","1966-02-23","1","1","0","Drivers",2,"0"
"123","Male","0","1",0,135000,"Working","Secondary","Married","House / apartment","1927-08-11","1966-02-23","1","1","0","Drivers",2,"0"
"124","Female","1","1",0,135000,"Working","Secondary","Married","House / apartment","1921-04-23","1965-04-25","0","0","0","Laborers",2,"0"
"125","Female","1","1",0,135000,"Working","Secondary","Married","House / apartment","1921-04-23","1965-04-25","0","0","0","Laborers",2,"0"
"126","Female","1","1",0,135000,"Working","Secondary","Married","House / apartment","1921-04-23","1965-04-25","0","0","0","Laborers",2,"0"
"127","Female","1","1",0,135000,"Working","Secondary","Married","House / apartment","1921-04-23","1965-04-25","0","0","0","Laborers",2,"0"
"128","Female","1","1",0,135000,"Working","Secondary","Married","House / apartment","1921-04-23","1965-04-25","0","0","0","Laborers",2,"0"
"129","Female","1","1",0,135000,"Working","Secondary","Married","House / apartment","1921-04-23","1965-04-25","0","0","0","Laborers",2,"0"
"130","Female","1","1",0,135000,"Working","Secondary","Married","House / apartment","1921-04-23","1965-04-25","0","0","0","Laborers",2,"0"
"131","Female","1","1",0,135000,"Working","Secondary","Married","House / apartment","1921-04-23","1965-04-25","0","0","0","Laborers",2,"0"
"132","Male","1","1",0,112500,"State servant","Secondary","Married","House / apartment","1912-11-07","1963-06-26","0","1","0","Drivers",2,"0"
"133","Male","1","1",0,112500,"State servant","Secondary","Married","House / apartment","1912-11-07","1963-06-26","0","1","0","Drivers",2,"0"
"134","Male","1","1",0,112500,"State servant","Secondary","Married","House / apartment","1912-11-07","1963-06-26","0","1","0","Drivers",2,"0"
"135","Male","1","1",0,112500,"State servant","Secondary","Married","House / apartment","1912-11-07","1963-06-26","0","1","0","Drivers",2,"0"
"136","Male","1","1",0,112500,"State servant","Secondary","Married","House / apartment","1912-11-07","1963-06-26","0","1","0","Drivers",2,"0"
"137","Male","1","1",0,112500,"State servant","Secondary","Married","House / apartment","1912-11-07","1963-06-26","0","1","0","Drivers",2,"0"
"138","Female","1","1",0,270000,"Working","Secondary","Separated","House / apartment","1924-08-08","1966-09-25","1","1","0","Cleaning staff",1,"0"
"139","Female","1","1",0,270000,"Working","Secondary","Separated","House / apartment","1924-08-08","1966-09-25","1","1","0","Cleaning staff",1,"0"
"140","Female","1","1",0,270000,"Working","Secondary","Separated","House / apartment","1924-08-08","1966-09-25","1","1","0","Cleaning staff",1,"0"
"141","Female","1","1",0,270000,"Working","Secondary","Separated","House / apartment","1924-08-08","1966-09-25","1","1","0","Cleaning staff",1,"0"
"142","Female","1","1",0,270000,"Working","Secondary","Separated","House / apartment","1924-08-08","1966-09-25","1","1","0","Cleaning staff",1,"0"
"143","Female","1","1",0,270000,"Working","Higher education","Married","House / apartment","1940-11-26","1967-09-26","0","0","1","Managers",2,"0"
"144","Female","1","1",0,270000,"Working","Higher education","Married","House / apartment","1940-11-26","1967-09-26","0","0","1","Managers",2,"0"
"145","Male","1","1",0,157500,"Working","Secondary","Married","House / apartment","1942-10-28","1967-09-26","0","0","0","Drivers",2,"0"
"146","Male","0","1",0,166500,"Working","Secondary","Married","House / apartment","1918-03-09","1952-10-26","1","1","0","Laborers",2,"0"
"147","Male","0","1",0,166500,"Working","Secondary","Married","House / apartment","1918-03-09","1952-10-26","1","1","0","Laborers",2,"0"
"148","Male","0","1",0,166500,"Working","Secondary","Married","House / apartment","1918-03-09","1952-10-26","1","1","0","Laborers",2,"0"
"149","Male","0","1",0,166500,"Working","Secondary","Married","House / apartment","1918-03-09","1952-10-26","1","1","0","Laborers",2,"0"
"150","Male","0","1",0,166500,"Working","Secondary","Married","House / apartment","1918-03-09","1952-10-26","1","1","0","Laborers",2,"0"
"151","Male","0","1",0,166500,"Working","Secondary","Married","House / apartment","1918-03-09","1952-10-26","1","1","0","Laborers",2,"0"
"152","Male","0","1",0,166500,"Working","Secondary","Married","House / apartment","1918-03-09","1952-10-26","1","1","0","Laborers",2,"0"
"153","Male","0","1",0,166500,"Working","Secondary","Married","House / apartment","1918-03-09","1952-10-26","1","1","0","Laborers",2,"0"
"154","Male","0","1",0,166500,"Working","Secondary","Married","House / apartment","1918-03-09","1952-10-26","1","1","0","Laborers",2,"0"
"155","Male","0","1",0,166500,"Working","Secondary","Married","House / apartment","1918-03-09","1952-10-26","1","1","0","Laborers",2,"0"
"156","Female","1","1",0,270000,"Commercial associate","Secondary","Married","House / apartment","1915-08-17","1940-04-25","0","0","1","Laborers",2,"0"
"157","Female","1","1",0,225000,"Commercial associate","Secondary","Married","House / apartment","1930-06-10","1962-05-26","0","0","0","Laborers",2,"1"
"158","Female","1","1",0,225000,"Commercial associate","Secondary","Married","House / apartment","1930-06-10","1962-05-26","0","0","0","Laborers",2,"0"
"159","Female","0","1",0,315000,"Working","Secondary","Single","House / apartment","1941-02-08","1966-09-25","0","0","0","Accountants",1,"0"
"160","Female","0","1",0,315000,"Working","Secondary","Single","House / apartment","1941-02-08","1966-09-25","0","0","0","Accountants",1,"0"
"161","Female","0","1",2,157500,"Working","Secondary","Single","House / apartment","1930-10-12","1968-06-25","0","0","0","Core staff",3,"0"
"162","Female","0","1",2,157500,"Working","Secondary","Single","House / apartment","1930-10-12","1968-06-25","0","0","0","Core staff",3,"0"
"163","Female","0","1",0,148500,"Working","Higher education","Married","House / apartment","1921-09-14","1967-07-27","0","0","0","Core staff",2,"0"
"164","Female","0","1",0,148500,"Working","Higher education","Married","House / apartment","1921-09-14","1967-07-27","0","0","0","Core staff",2,"0"
"165","Female","0","1",0,148500,"Working","Higher education","Married","House / apartment","1921-09-14","1967-07-27","0","0","0","Core staff",2,"1"
"166","Female","0","1",0,148500,"Working","Higher education","Married","House / apartment","1921-09-14","1967-07-27","0","0","0","Core staff",2,"1"
"167","Female","0","1",0,148500,"Working","Higher education","Married","House / apartment","1921-09-14","1967-07-27","0","0","0","Core staff",2,"0"
"168","Female","0","1",0,148500,"Working","Higher education","Married","House / apartment","1921-09-14","1967-07-27","0","0","0","Core staff",2,"0"
"169","Female","0","1",2,202500,"Working","Higher education","Married","House / apartment","1939-11-23","1963-09-26","0","0","1","Core staff",4,"0"
"170","Female","0","1",2,202500,"Working","Higher education","Married","House / apartment","1939-11-23","1963-09-26","0","0","1","Core staff",4,"1"
"171","Female","0","1",2,202500,"Working","Higher education","Married","House / apartment","1939-11-23","1963-09-26","0","0","1","Core staff",4,"0"
"172","Female","0","1",2,202500,"Working","Higher education","Married","House / apartment","1939-11-23","1963-09-26","0","0","1","Core staff",4,"0"
"173","Female","0","1",2,202500,"Working","Higher education","Married","House / apartment","1939-11-23","1963-09-26","0","0","1","Core staff",4,"0"
"174","Male","0","1",0,202500,"Working","Secondary","Single","House / apartment","1945-09-28","1967-07-27","1","0","0","Drivers",1,"0"
"175","Male","0","1",0,202500,"Working","Secondary","Single","House / apartment","1945-09-28","1967-07-27","1","0","0","Drivers",1,"0"
"176","Female","1","1",0,112500,"Commercial associate","Secondary","Single","House / apartment","1949-07-01","1967-10-27","0","1","1","Private service staff",1,"0"
"177","Male","1","1",0,315000,"Working","Secondary","Civil marriage","House / apartment","1941-05-23","1964-04-25","0","0","0","Sales staff",2,"0"
"178","Male","1","1",0,315000,"Working","Secondary","Civil marriage","House / apartment","1941-05-23","1964-04-25","0","0","0","Sales staff",2,"0"
"179","Male","1","1",0,315000,"Working","Secondary","Civil marriage","House / apartment","1941-05-23","1964-04-25","0","0","0","Sales staff",2,"0"
"180","Male","1","1",0,315000,"Working","Secondary","Civil marriage","House / apartment","1941-05-23","1964-04-25","0","0","0","Sales staff",2,"0"
"181","Male","1","1",0,315000,"Working","Secondary","Civil marriage","House / apartment","1941-05-23","1964-04-25","0","0","0","Sales staff",2,"0"
"182","Male","1","1",0,315000,"Working","Secondary","Civil marriage","House / apartment","1941-05-23","1964-04-25","0","0","0","Sales staff",2,"0"
"183","Male","1","1",0,315000,"Working","Secondary","Civil marriage","House / apartment","1941-05-23","1964-04-25","0","0","0","Sales staff",2,"0"
"184","Male","1","1",0,315000,"Working","Secondary","Civil marriage","House / apartment","1941-05-23","1964-04-25","0","0","0","Sales staff",2,"0"
"185","Male","1","1",0,315000,"Working","Secondary","Civil marriage","House / apartment","1941-05-23","1964-04-25","0","0","0","Sales staff",2,"0"
"186","Female","1","1",0,270000,"Commercial associate","Incomplete higher","Civil marriage","Municipal apartment","1941-11-25","1961-04-25","0","1","1","High skill tech staff",2,"0"
"187","Female","1","1",0,270000,"Commercial associate","Incomplete higher","Civil marriage","Municipal apartment","1941-11-25","1961-04-25","0","1","1","High skill tech staff",2,"0"
"188","Female","1","1",1,450000,"State servant","Higher education","Married","House / apartment","1921-06-21","1968-01-24","0","1","1","Core staff",3,"0"
"189","Female","1","1",1,450000,"State servant","Higher education","Married","House / apartment","1921-06-21","1968-01-24","0","1","1","Core staff",3,"0"
"190","Male","0","1",1,180000,"Working","Secondary","Married","With parents","1931-05-04","1966-06-25","0","0","0","Drivers",3,"0"
"191","Female","0","1",0,112500,"Working","Higher education","Civil marriage","House / apartment","1942-06-13","1961-04-25","0","0","1","Laborers",2,"0"
"192","Female","0","1",0,112500,"Working","Higher education","Civil marriage","House / apartment","1942-06-13","1961-04-25","0","0","1","Laborers",2,"1"
"193","Female","0","1",0,112500,"Working","Higher education","Civil marriage","House / apartment","1942-06-13","1961-04-25","0","0","1","Laborers",2,"0"
"194","Male","0","1",0,90000,"Working","Secondary","Married","House / apartment","1913-10-16","1954-04-25","0","0","0","Drivers",2,"0"
"195","Male","0","1",0,90000,"Working","Secondary","Married","House / apartment","1913-10-16","1954-04-25","0","0","0","Drivers",2,"0"
"196","Male","1","0",2,202500,"Commercial associate","Higher education","Married","House / apartment","1929-09-03","1961-10-26","0","0","0","Laborers",4,"0"
"197","Male","1","0",2,202500,"Commercial associate","Higher education","Married","House / apartment","1929-09-03","1961-10-26","0","0","0","Laborers",4,"0"
"198","Male","1","1",0,247500,"Working","Secondary","Married","House / apartment","1935-06-06","1958-12-25","0","0","0","Drivers",2,"0"
"199","Male","1","1",1,765000,"Working","Higher education","Married","House / apartment","1936-08-10","1966-09-25","1","0","0","Managers",3,"1"
"200","Male","1","1",1,765000,"Working","Higher education","Married","House / apartment","1936-08-10","1966-09-25","1","0","0","Managers",3,"0"
"201","Male","1","1",1,765000,"Working","Higher education","Married","House / apartment","1936-08-10","1966-09-25","1","0","0","Managers",3,"0"
"202","Female","0","1",1,270000,"Commercial associate","Secondary","Married","House / apartment","1932-07-20","1957-12-24","0","0","1","Accountants",3,"0"
"203","Female","0","1",1,270000,"Commercial associate","Secondary","Married","House / apartment","1932-07-20","1957-12-24","0","0","1","Accountants",3,"0"
"204","Female","0","1",1,270000,"Commercial associate","Secondary","Married","House / apartment","1932-07-20","1957-12-24","0","0","1","Accountants",3,"0"
"205","Female","0","1",0,315000,"Working","Higher education","Separated","House / apartment","1933-09-01","1968-06-25","0","0","0","Managers",1,"0"
"206","Female","0","1",0,315000,"Working","Higher education","Separated","House / apartment","1933-09-01","1968-06-25","0","0","0","Managers",1,"0"
